date,open,high,low,close,volume,log_return,volatility_7,RSI_14,MA_7,MA_21
2018-02-02,9.5138,10.749,7.3,9.7484,4023356.31,0.02435979284252437,0.07817501716285458,26.755535674345793,11.719785714285715,14.132490476190478
2018-02-03,9.7485,10.354,8.5818,9.7252,2348921.72,-0.0023827141336132097,0.0756073212512793,17.68663150929399,11.1949,13.546804761904761
2018-02-04,9.7497,9.7527,8.012,8.3511,2015678.77,-0.15232718813252508,0.07707892129241016,18.947424950324915,10.420214285714286,12.970471428571429
2018-02-05,8.4003,8.6005,6.0801,6.7315,3127797.46,-0.21559526527606368,0.094406626032618,18.174044731989255,9.551142857142858,12.370085714285713
2018-02-06,6.7216,8.6,5.5233,8.263,6158895.87,0.20498971628189486,0.1455487511976728,28.095238095238102,9.0923,12.135009523809524
2018-02-07,8.2502,9.236,7.28,8.0647,4409292.58,-0.024291204601863185,0.14522039983864035,22.809462854975592,8.628242857142856,11.842861904761904
2018-02-08,8.0979,8.3887,8.0012,8.2791,91986.49,0.026237753720009686,0.13590605147924747,25.80924798549954,8.451857142857143,11.563785714285714
2018-02-09,8.2791,10.0,8.279,9.86,2406640.35,0.1747519017773501,0.15465528921600566,35.97831486271218,8.4678,11.321657142857143
2018-02-10,9.86,10.4444,8.767,9.2448,3349144.7,-0.06442493732476502,0.15668776493490474,32.727166899487784,8.39917142857143,10.99182857142857
2018-02-11,9.2501,9.5,8.02,8.674,3021732.48,-0.06373118587660455,0.1462449135450635,29.13758825791355,8.4453,10.731857142857143
2018-02-12,8.6739,9.4348,8.659,9.3389,1912462.38,0.07385842687251828,0.10969102270835662,35.42967800347063,8.817785714285714,10.561804761904762
2018-02-13,9.339,9.36,8.7306,9.016,1365850.96,-0.03518769554821757,0.08721200129481034,38.73252989964717,8.925357142857143,10.36722380952381
2018-02-14,9.0001,10.65,8.953,10.4096,2568177.67,0.1437276805594201,0.09788052121908099,46.279841558719625,9.260342857142858,10.205776190476191
2018-02-15,10.4063,11.29,9.9784,10.8661,4236021.22,0.04291939380867861,0.09779314670280205,56.260358316744586,9.629914285714284,10.095090476190475
2018-02-16,10.8784,11.25,10.3,11.25,1968986.94,0.034720277544855356,0.07759510603403796,56.856746241940485,9.828485714285714,10.005357142857141
2018-02-17,11.2054,11.8461,10.85,11.66,2278513.2,0.035796052271917234,0.06836850186683663,58.53342271933384,10.173514285714287,9.922528571428572
2018-02-18,11.6827,11.6827,10.5819,10.6631,2183910.15,-0.08937499770651466,0.07480905419707959,60.54802270197273,10.457671428571429,9.774395238095238
2018-02-19,10.6631,11.1899,10.5398,11.0601,1336755.03,0.036554854428802186,0.0724122908207372,72.22804206720895,10.703557142857141,9.690828571428572
2018-02-20,11.0699,11.2,9.68,9.8888,2357501.48,-0.1119412340531576,0.08719884319196622,58.669453746560585,10.828242857142856,9.6153
